RankXc	ScanNum	ChargeState	MultiProteinID	Reference	
1	2	1	1	SO_3155
1	2	1	2	SO_4458
1	3	1	1	SO_1917
1	3	1	2	SO_3969
1	4	1	1	SO_0702
1	4	1	2	SO_0881
1	4	1	3	SO_1249
1	4	1	4	SO_1643
1	4	1	5	SO_2189
1	4	1	6	SO_3125
1	4	1	7	SO_3981
1	4	1	8	SO_4702
1	5	1	1	SO_0345
1	5	1	10	SO_3516
1	5	1	11	SO_3733
1	5	1	12	SO_4195
1	5	1	2	SO_0612
1	5	1	3	SO_0810
1	5	1	4	SO_0949
1	5	1	5	SO_1151
1	5	1	6	SO_2136
1	5	1	7	SO_2427
1	5	1	8	SO_2486
1	5	1	9	SO_2491
1	6	1	1	SO_0725
1	6	1	2	SO_1017
1	6	1	3	SO_1820
1	6	1	4	SO_4198
1	6	1	5	SO_4405
1	7	1	1	SO_1771
1	7	1	2	SO_4798
1	9	1	1	SO_3155
1	9	1	2	SO_4458
1	10	1	1	SO_1180
1	10	1	2	SO_1902
1	11	1	1	SO_0057
1	11	1	10	SO_1895
1	11	1	11	SO_1980
1	11	1	12	SO_1998
1	11	1	13	SO_2088
1	11	1	14	SO_2244
1	11	1	15	SO_2353
1	11	1	16	SO_2646
1	11	1	17	SO_2649
1	11	1	18	SO_2685
1	11	1	19	SO_3318
1	11	1	2	SO_0358
1	11	1	20	SO_3481
1	11	1	21	SO_3631
1	11	1	22	SO_3678
1	11	1	23	SO_3940
1	11	1	24	SO_4312
1	11	1	25	SO_4326
1	11	1	26	SO_4586
1	11	1	3	SO_0486
1	11	1	4	SO_0501
1	11	1	5	SO_0615
1	11	1	6	SO_0754
1	11	1	7	SO_0909
1	11	1	8	SO_1313
1	11	1	9	SO_1683
1	13	1	1	SO_1017
1	13	1	2	SO_4062
1	13	1	3	SO_4091
1	13	1	4	SO_4405
1	14	1	1	SO_2774
1	14	1	2	SO_3072
1	14	1	3	SO_3745
1	14	1	4	SO_4258
1	18	1	1	SO_1226
1	18	1	2	SO_4340
1	18	1	3	SO_4362
1	18	1	4	SO_A0114
1	19	1	1	SO_0004
1	19	1	10	SO_0806
1	19	1	11	SO_0818
1	19	1	12	SO_0842
1	19	1	13	SO_0855
1	19	1	14	SO_1003
1	19	1	15	SO_1037
1	19	1	16	SO_1158
1	19	1	17	SO_1166
1	19	1	18	SO_1239
1	19	1	19	SO_1294
1	19	1	2	SO_0251
1	19	1	20	SO_1341
1	19	1	21	SO_1494
1	19	1	22	SO_1550
1	19	1	23	SO_1599
1	19	1	24	SO_1636
1	19	1	25	SO_1699
1	19	1	26	SO_1778
1	19	1	27	SO_1822
1	19	1	28	SO_1924
1	19	1	29	SO_1967
1	19	1	3	SO_0375
1	19	1	30	SO_2102
1	19	1	31	SO_2175
1	19	1	32	SO_2192
1	19	1	33	SO_2241
1	19	1	34	SO_2299
1	19	1	35	SO_2466
1	19	1	36	SO_2506
1	19	1	37	SO_2518
1	19	1	38	SO_2523
1	19	1	39	SO_2525
1	19	1	4	SO_0440
1	19	1	40	SO_2581
1	19	1	41	SO_2601
1	19	1	42	SO_2610
1	19	1	43	SO_2938
1	19	1	44	SO_2940
1	19	1	45	SO_3099
1	19	1	46	SO_3106
1	19	1	47	SO_3189
1	19	1	48	SO_3241
1	19	1	49	SO_3292
1	19	1	5	SO_0490
1	19	1	50	SO_3308
1	19	1	51	SO_3453
1	19	1	52	SO_3488
1	19	1	53	SO_3532
1	19	1	54	SO_3640
1	19	1	55	SO_3664
1	19	1	56	SO_3726
1	19	1	57	SO_3899
1	19	1	58	SO_4043
1	19	1	59	SO_4238
1	19	1	6	SO_0564
1	19	1	60	SO_4523
1	19	1	61	SO_4523
1	19	1	62	SO_4539
1	19	1	63	SO_4600
1	19	1	64	SO_A0012
1	19	1	65	SO_A0114
1	19	1	66	SO_A0128
1	19	1	67	SO_A0141
1	19	1	68	SO_A0141
1	19	1	7	SO_0577
1	19	1	8	SO_0639
1	19	1	9	SO_0668.1
1	24	1	1	SO_2742
1	24	1	2	SO_3215
1	24	1	3	SO_3252
1	25	1	1	SO_0101
1	25	1	10	SO_4286
1	25	1	11	SO_4702
1	25	1	2	SO_0173
1	25	1	3	SO_1197
1	25	1	4	SO_2015
1	25	1	5	SO_2229
1	25	1	6	SO_2758
1	25	1	7	SO_2790
1	25	1	8	SO_4053
1	25	1	9	SO_4109
1	28	1	1	SO_0017
1	28	1	2	SO_1602
1	28	1	3	SO_2551
1	28	1	4	SO_3279
1	30	1	1	SO_2082
1	30	1	2	SO_4098
1	32	1	1	SO_1228
1	32	1	10	SO_4356
1	32	1	11	SO_4454
1	32	1	2	SO_1900
1	32	1	3	SO_2108
1	32	1	4	SO_2589
1	32	1	5	SO_2743
1	32	1	6	SO_3048
1	32	1	7	SO_3746
1	32	1	8	SO_3838
1	32	1	9	SO_4234
1	36	1	1	SO_1156
1	36	1	2	SO_3599
1	37	1	1	SO_2444
1	37	1	2	SO_2883
1	40	1	1	SO_2487
1	40	1	2	SO_4004
1	41	1	1	SO_2809
1	41	1	2	SO_4344
1	42	1	1	SO_0867
1	42	1	2	SO_2544
1	43	1	1	SO_1706
1	43	1	2	SO_1917
1	46	1	1	SO_0680
1	46	1	2	SO_1522
1	46	1	3	SO_4098
1	46	1	4	SO_4347
1	46	1	5	SO_4713
1	47	1	1	SO_1052
1	47	1	2	SO_1385
1	47	1	3	SO_3648
1	49	1	1	SO_0287
1	49	1	2	SO_0781
1	49	1	3	SO_1844
1	49	1	4	SO_2636
1	49	1	5	SO_3212
1	49	1	6	SO_A0175
1	52	1	1	SO_0067
1	52	1	2	SO_1561
1	52	1	3	SO_4515
1	54	1	1	SO_0076
1	54	1	2	SO_4218
1	54	1	3	SO_A0138
1	55	1	1	SO_0007
1	55	1	10	SO_1892
1	55	1	11	SO_1928
1	55	1	12	SO_1952
1	55	1	13	SO_2333
1	55	1	14	SO_2487
1	55	1	15	SO_2762
1	55	1	16	SO_2857
1	55	1	17	SO_3264
1	55	1	18	SO_3541
1	55	1	19	SO_3542
1	55	1	2	SO_0261
1	55	1	20	SO_4746
1	55	1	3	SO_0415
1	55	1	4	SO_0416
1	55	1	5	SO_0455
1	55	1	6	SO_0725
1	55	1	7	SO_0939
1	55	1	8	SO_1114
1	55	1	9	SO_1565
1	65	1	1	SO_0748
1	65	1	2	SO_0906
1	65	1	3	SO_3206
1	65	1	4	SO_3303
1	65	1	5	SO_4211
1	65	1	6	SO_4649
1	66	1	1	SO_1699
1	66	1	2	SO_2739
1	68	1	1	SO_0966
1	68	1	2	SO_1882
1	68	1	3	SO_3391
1	68	1	4	SO_3875
1	71	1	1	SO_2742
1	71	1	2	SO_3215
1	71	1	3	SO_3252
1	72	1	1	SO_1003
1	72	1	2	SO_1063
1	72	1	3	SO_2223
1	72	1	4	SO_4309
1	74	1	1	SO_0060
1	74	1	2	SO_2455
1	74	1	3	SO_3318
1	74	1	4	SO_3994
1	74	1	5	SO_4356
1	74	1	6	SO_4466
1	77	1	1	SO_0070
1	77	1	2	SO_2304
1	79	1	1	SO_0639
1	79	1	10	SO_3771
1	79	1	11	SO_4002
1	79	1	12	SO_4093
1	79	1	13	SO_A0049
1	79	1	2	SO_1016
1	79	1	3	SO_1115
1	79	1	4	SO_1350
1	79	1	5	SO_1857
1	79	1	6	SO_1872
1	79	1	7	SO_1938
1	79	1	8	SO_2891
1	79	1	9	SO_3502
1	86	1	1	SO_1522
1	86	1	2	SO_4062
1	87	1	1	SO_3237
1	87	1	2	SO_A0177
1	90	1	1	SO_1153
1	90	1	2	SO_1258
1	92	1	1	SO_1690
1	92	1	2	SO_2525
1	94	1	1	SO_3235
1	94	1	2	SO_3302
1	101	1	1	SO_0224
1	101	1	2	SO_0263
1	101	1	3	SO_0363
1	101	1	4	SO_0477
1	101	1	5	SO_0725
1	101	1	6	SO_4701
1	104	1	1	SO_1309
1	104	1	2	SO_1822
1	104	1	3	SO_2427
1	104	1	4	SO_2469
1	104	1	5	SO_3268
1	113	1	1	SO_0325
1	113	1	2	SO_1931
1	113	1	3	SO_4598
1	113	1	4	SO_A0153
1	115	1	1	SO_2103
1	115	1	2	SO_4169
1	123	1	1	SO_1121
1	123	1	2	SO_2910
1	128	1	1	SO_0129
1	128	1	2	SO_3106
1	130	1	1	SO_0126
1	130	1	2	SO_2838
1	167	1	1	SO_3155
1	167	1	2	SO_4458
1	171	1	1	SO_0695
1	171	1	2	SO_0870
1	171	1	3	SO_0888
1	171	1	4	SO_1498
1	171	1	5	SO_2702
1	171	1	6	SO_3740
1	171	1	7	SO_3828
1	174	1	1	SO_0276
1	174	1	2	SO_1403
1	175	1	1	SO_0279
1	175	1	2	SO_0577
1	175	1	3	SO_3176
1	178	1	1	SO_0224
1	178	1	2	SO_1552
1	178	1	3	SO_1701
1	178	1	4	SO_3078
1	178	1	5	SO_3541
1	178	1	6	SO_3738
1	178	1	7	SO_4345
1	181	1	1	SO_1700
1	181	1	2	SO_3267
1	181	1	3	SO_4243
1	182	1	1	SO_0189
1	182	1	2	SO_0189
1	182	1	3	SO_0827
1	182	1	4	SO_1046
1	182	1	5	SO_2081
1	182	1	6	SO_3532
1	183	1	1	SO_0809
1	183	1	2	SO_2082
1	183	1	3	SO_3078
1	183	1	4	SO_3942
1	183	1	5	SO_4098
1	183	1	6	SO_4118
1	185	1	1	SO_0204
1	185	1	10	SO_4143
1	185	1	11	SO_4383
1	185	1	12	SO_4673
1	185	1	2	SO_0614
1	185	1	3	SO_0848
1	185	1	4	SO_0975
1	185	1	5	SO_1497
1	185	1	6	SO_1576
1	185	1	7	SO_1781
1	185	1	8	SO_2089
1	185	1	9	SO_3431
1	190	1	1	SO_1324
1	190	1	2	SO_2090
1	190	1	3	SO_2114
1	190	1	4	SO_3077
1	197	1	1	SO_0311
1	197	1	2	SO_3504
1	197	1	3	SO_4032
1	197	1	4	SO_4121
1	201	1	1	SO_0680
1	201	1	2	SO_0815
1	206	1	1	SO_0356
1	206	1	10	SO_2292
1	206	1	11	SO_2459
1	206	1	12	SO_2731
1	206	1	13	SO_2820
1	206	1	14	SO_2869
1	206	1	15	SO_3604
1	206	1	16	SO_4359
1	206	1	17	SO_4523
1	206	1	18	SO_4743
1	206	1	19	SO_A0064
1	206	1	2	SO_0378
1	206	1	20	SO_A0130
1	206	1	3	SO_0740
1	206	1	4	SO_1070
1	206	1	5	SO_1161
1	206	1	6	SO_1239
1	206	1	7	SO_1280
1	206	1	8	SO_1482
1	206	1	9	SO_1542
1	212	1	1	SO_2760
1	212	1	2	SO_2774
1	212	1	3	SO_4670
1	214	1	1	SO_0012
1	214	1	10	SO_1760
1	214	1	11	SO_2480
1	214	1	12	SO_2680
1	214	1	13	SO_2856
1	214	1	14	SO_3019
1	214	1	15	SO_3173
1	214	1	16	SO_3317
1	214	1	17	SO_3483
1	214	1	18	SO_3584
