Result_ID	Unique_Seq_ID
1	1
2	2
3	3
4	4
5	5
6	6
7	4
8	7
9	1
10	8
11	9
12	6
13	3
14	9
15	10
16	11
17	12
18	8
19	13
20	14
21	15
22	16
23	17
25	18
26	19
27	20
28	21
29	6
30	22
31	23
32	24
33	25
34	26
35	27
36	1
37	28
38	29
39	30
40	31
41	32
42	33
43	34
44	35
45	36
46	37
47	38
48	39
49	40
50	41
51	42
52	43
53	44
54	45
55	41
56	46
57	47
58	18
59	48
60	47
61	49
62	50
63	51
64	47
65	52
66	53
67	38
68	48
69	54
70	43
71	55
72	56
73	57
74	58
75	59
76	14
77	60
78	61
79	62
80	63
81	64
82	65
83	66
84	67
85	10
86	68
87	69
88	70
89	47
90	71
91	72
92	73
93	23
94	74
95	75
96	76
97	59
98	77
99	78
100	79
101	80
102	45
103	81
104	82
105	83
106	84
107	85
108	86
109	87
110	88
112	89
113	90
114	91
115	92
116	35
117	93
118	94
119	95
120	96
121	97
122	98
123	20
124	99
125	100
126	101
127	102
128	75
129	16
130	103
131	104
132	42
133	105
134	106
135	107
136	108
137	109
138	110
139	111
140	112
141	113
142	114
143	115
144	116
145	117
146	118
147	119
148	120
149	74
150	25
151	121
152	122
153	123
154	124
155	39
156	125
157	126
158	127
159	96
160	128
161	129
162	130
163	131
164	132
165	57
166	133
167	134
168	135
169	136
170	137
171	138
172	69
173	139
174	140
175	141
176	142
177	143
178	63
179	52
180	126
181	144
182	142
183	145
184	146
185	147
186	148
187	39
188	149
189	150
190	151
191	152
192	153
193	154
194	155
195	156
196	157
197	26
198	158
199	159
200	160
201	161
202	162
203	59
204	77
205	47
206	163
207	164
209	165
210	145
211	47
212	166
214	48
215	167
217	117
218	168
219	169
220	27
221	170
222	171
223	42
224	65
225	172
226	173
227	174
229	175
230	176
231	177
232	7
233	69
234	178
235	47
236	47
237	48
238	179
239	180
240	181
241	69
242	182
243	183
244	101
245	184
246	185
247	186
248	69
249	47
250	187
251	188
252	189
253	168
254	190
255	191
256	192
257	193
258	194
259	123
260	195
261	196
262	197
263	198
264	199
265	143
266	200
267	201
268	202
269	203
270	204
271	205
272	69
273	206
274	207
275	71
276	208
277	209
278	210
279	211
280	212
281	213
282	69
283	214
284	215
285	216
286	217
287	218
288	47
289	8
290	219
291	220
292	221
293	222
294	69
295	116
296	223
297	224
298	225
299	145
300	226
301	126
302	227
303	228
304	229
305	91
306	145
307	230
308	231
309	137
310	232
311	233
312	47
313	234
314	73
315	36
316	235
317	236
318	69
319	237
320	238
321	39
322	239
323	240
324	241
325	242
326	243
327	17
329	244
330	245
331	246
332	12
333	247
334	248
335	47
336	249
337	250
338	215
339	107
340	251
341	80
342	252
343	253
344	254
345	255
346	47
347	256
348	257
349	258
350	259
351	260
352	261
353	262
354	107
355	69
356	239
357	263
358	264
359	265
360	218
361	266
362	267
363	23
364	268
365	237
366	269
367	185
368	270
369	271
370	270
371	272
372	47
373	47
374	273
375	274
376	271
377	140
378	275
379	48
380	44
381	207
382	47
383	276
384	277
385	278
386	279
387	47
388	280
389	281
390	282
391	239
392	283
393	198
394	284
395	285
396	222
397	286
398	287
399	47
400	238
401	288
402	86
403	289
404	290
405	45
406	291
407	47
408	47
409	47
410	47
411	292
412	293
413	294
414	295
415	69
416	294
417	296
418	297
419	298
420	299
421	300
422	205
423	86
424	80
425	243
426	20
427	262
428	301
429	302
430	303
431	113
432	262
433	304
434	305
435	306
436	95
437	307
438	308
439	214
440	150
441	47
442	309
443	310
444	311
445	312
446	313
447	230
448	314
449	315
450	316
451	317
452	318
453	319
454	162
455	320
456	178
457	321
458	20
459	322
460	323
461	324
462	325
463	326
464	198
465	241
466	327
467	328
468	329
469	330
470	331
471	17
473	332
474	84
475	333
476	43
477	148
478	237
479	334
480	47
481	335
482	336
483	337
484	338
485	20
486	339
487	340
488	104
489	341
490	342
491	140
492	330
493	343
494	344
495	345
496	311
497	346
498	47
499	172
500	47
501	347
502	348
503	184
504	349
505	224
506	121
507	350
508	351
509	352
510	218
511	353
512	354
513	355
514	156
515	47
516	356
517	357
518	104
519	358
520	359
521	303
522	337
523	63
524	213
525	360
526	115
527	361
528	362
529	363
530	364
531	365
532	366
533	367
534	368
535	369
536	370
537	261
538	371
539	372
540	373
541	374
542	47
543	375
544	376
545	377
546	378
547	379
548	380
549	193
550	381
551	382
552	235
553	383
554	384
555	20
556	202
557	348
558	385
559	69
560	47
561	251
562	386
563	387
564	388
565	389
566	286
567	390
568	391
569	392
570	86
