Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		1005.4879085
2	0		1312.7536239
3	1	Plus1Oxy:1	1328.7485239
4	0		1181.7131445
5	0		1068.6290864
6	0		948.5279855
7	0		674.3598694
8	1	Plus1Oxy:11	2025.9386181
9	0		2009.9437181
10	0		2814.2798855
11	0		2387.2178768
12	2	Plus1Oxy:6,Plus1Oxy:9	1248.5841546
13	0		1216.5943546
14	1	Plus1Oxy:9	1232.5892546
15	0		1145.5572445
16	0		983.6014802
17	0		813.4959614
18	0		2617.3267650
19	0		3189.5498170
20	0		2905.3649921
21	0		3176.6432530
22	0		2834.4529506
23	0		1671.8143603
24	0		2496.3263051
25	0		2624.4212605
26	0		995.5902487
27	0		1194.7223143
28	0		882.5061907
29	0		2751.4839262
30	0		3896.1178221
31	0		3740.0167212
32	0		2740.4930960
33	0		3768.0228667
34	0		2612.3981406
35	1	Plus1Oxy:2	3627.9166657
36	0		1173.6352894
37	1	NH3_Loss:1	1681.7318085
38	0		1033.5113451
39	1	Plus1Oxy:9	1049.5062451
40	0		934.4429363
41	0		1237.6526663
42	0		1010.5144552
43	0		1592.8885230
44	0		1210.6193060
45	0		1329.6411583
46	0		1813.9169122
47	1	NH3_Loss:1	1796.8903632
48	0		3322.4868967
49	0		2966.2697136
50	0		2562.3436071
51	0		2016.0634352
52	0		1786.9571909
53	0		1729.6059820
54	0		1031.5246846
55	0		2256.1782672
56	1	Plus1Oxy:3	1874.9294373
57	0		884.5443029
58	0		2190.0407926
59	0		2530.2630617
60	1	Plus1Oxy:1	2390.1568608
61	0		2374.1619608
62	1	Plus1Oxy:21	2390.1568608
63	0		2243.1214813
64	0		2730.5166074
65	0		2020.0475842
66	0		1484.8561649
67	0		733.2878257
68	0		3258.6267559
69	0		3102.5256550
70	0		1114.5770525
71	0		1015.5086438
72	0		2370.0399229
73	0		2213.9388220
74	0		3067.5507616
75	0		2755.3485598
76	0		2911.4496607
77	0		1438.6397757
78	0		2711.3335785
79	0		1776.9117688
80	0		1391.7520396
81	0		1292.6836309
82	0		922.4507984
83	0		1551.8480546
84	0		1395.7469537
85	0		1310.5890669
86	0		1197.5050089
87	0		3094.4816848
88	0		3706.6805574
89	0		1044.4763431
90	0		1082.5131191
91	0		933.4589197
