Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		1312.7536239
2	1	Plus1Oxy:1	1328.7485239
3	0		1068.6290864
4	0		997.5919763
5	0		948.5279855
6	0		861.4959614
7	0		2009.9437181
8	0		1782.7803539
9	0		1890.9169697
10	0		2387.2178768
11	0		1216.5943546
12	1	Plus1Oxy:9	1232.5892546
13	2	Plus1Oxy:6,Plus1Oxy:9	1248.5841546
14	0		1372.6954555
15	0		983.6014802
16	0		2617.3267650
17	1	Plus1Oxy:24	2633.3216650
18	0		3189.5498170
19	0		2905.3649921
20	0		3176.6432530
21	0		1671.8143603
22	0		698.3275112
23	0		2624.4212605
24	0		1194.7223143
25	0		825.4847299
26	0		995.5902487
27	0		1065.6797268
28	0		952.5956687
29	0		2751.4839262
30	0		874.4409031
31	0		2740.4930960
32	0		3740.0167212
33	0		2612.3981406
34	0		3611.9217657
35	0		3768.0228667
36	0		1017.5341884
37	0		1943.9183633
38	1	NH3_Loss:1	1681.7318085
39	0		1033.5113451
40	0		1237.6526663
41	0		1010.5144552
42	0		1323.7033641
43	0		1592.8885230
44	0		1450.8143028
45	0		1329.6411583
46	0		1813.9169122
47	1	NH3_Loss:1	1796.8903632
48	0		2966.2697136
49	0		3322.4868967
50	0		2562.3436071
51	1	Plus1Oxy:19	2578.3385071
52	0		2475.3115830
53	0		2291.1904148
54	1	NH3_Loss:1	2274.1638658
55	0		2016.0634352
56	0		1786.9571909
57	0		1301.6900245
58	0		1729.6059820
59	0		2244.2516934
60	0		1212.6865978
61	0		2372.3466489
62	0		1164.5046748
63	0		950.5660977
64	0		1175.5359160
65	0		1339.6084086
66	0		2476.2524764
67	0		1972.9781160
68	0		1251.6458527
69	0		1790.9301085
70	0		1469.7724983
71	0		1902.0209800
72	0		3010.4315693
73	0		1142.5575785
74	0		1090.5294365
75	0		1714.7546076
76	0		1870.8557085
77	0		1266.5662235
78	1	NH3_Loss:1	1666.9742489
79	0		2934.5846931
80	0		2649.4410047
81	0		2769.2703132
82	0		2925.3714141
83	0		1040.5977878
84	0		2098.1057636
85	0		2320.1797072
86	0		2192.0847518
87	0		3542.7349760
88	1	Plus1Oxy:7	3558.7298760
89	0		3471.6978659
90	1	Plus1Oxy:3	1006.4687545
91	0		990.4738545
92	0		1284.7036981
93	0		2245.1225299
94	0		2214.0585500
95	0		987.5024983
96	0		2029.0214290
97	0		1200.6461868
98	0		1509.7608864
99	0		1014.5709070
100	0		901.4868490
101	0		1470.7928995
102	0		1453.8139688
103	0		3090.5330507
104	0		1138.5804219
105	0		1649.8922264
106	0		1536.7306937
107	0		1007.4923264
108	0		1299.6822373
109	0		1456.7958774
110	0		1325.7553980
111	0		1304.6360149
112	0		1467.6993376
113	0		1621.8310692
114	0		2849.3654594
115	0		2467.1986794
116	0		1053.6181890
117	0		784.4330301
118	0		1019.5399424
119	0		1948.0392157
120	0		2680.1736876
121	0		2729.3540372
122	0		2059.9843299
123	0		1523.9438578
124	0		1214.7386317
125	0		1463.8823201
126	0		1307.7812192
127	0		1194.6971611
128	0		1081.6131031
129	0		1183.7036406
130	0		776.4101867
131	0		1041.6181890
132	0		1555.8471858
133	0		1670.8514704
134	0		2647.3426909
135	0		1442.7404742
136	0		1512.8551053
137	0		1015.5773865
138	0		2328.2510363
139	0		2456.3459918
140	0		1292.6546420
141	0		2036.0135094
142	0		3065.5191755
143	0		2128.1349541
144	0		1824.9654445
145	0		1576.7884816
146	0		1803.9266927
147	0		981.4879085
148	0		1946.0148346
149	0		1846.9464258
150	0		1058.5355820
151	0		1558.8201718
152	0		1301.6826288
153	0		4589.3691375
154	0		1295.7124764
155	0		3939.0263683
156	0		4453.2473122
157	0		1985.1196279
158	0		1988.9763993
159	0		1432.7309703
160	0		1661.8372146
161	0		2102.0543977
162	0		1233.6352894
163	0		1601.8412410
164	0		818.4286122
165	0		943.5337970
166	0		1083.6399838
167	0		1225.7029726
168	0		1026.5709070
169	0		2172.0545127
170	0		1184.6764259
171	0		957.5130617
172	0		1646.8375487
173	0		1518.7425932
174	0		2618.3624241
175	0		3450.7339164
