frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time,flag
1,205,3,1379,797.1177,0.1447,2389.8501,2387.307,2389.30991,0.0463,100,907,732,0,0,32.864,
2,163,3,1391,614.3309,0.1041,1841.18238,1839.972,1840.97526,0.0398,100,1391,0,0,0,26.131,
2,223,2,1484,886.5287,0.1375,1772.21558,1771.044,1771.04387,0.0489,100,1484,975,0,0,35.749,
3,163,3,1275,614.6563,0.0858,1842.16017,1840.948,1841.95134,0.0438,100,751,0,0,0,26.022,1
3,193,4,1275,783.6351,0.0466,3132.5111,3130.515,3131.51806,0.0488,115.91,920,1127,0,0,30.811,
6,195,2,1069,783.8826,0.1467,1566.79814,1565.752,1565.75178,0.0425,4.9,1069,0,0,0,31.107,
8,172,3,1295,591.6842,0.1355,1773.22911,1773.057,1772.0571,0.0375,100,1030,0,0,0,27.438,1
13,218,1,1841,496.3499,0.0134,495.64588,495.3431,495.34313,0.0213,100,1841,0,0,0,35.034,
54,207,1,941,536.1732,0.0741,535.49533,535.1664,535.16642,0.0366,100,941,0,0,0,33.365,
93,204,1,620,536.1768,0.1427,535.499,535.1701,535.17009,0.0352,100,620,0,0,0,32.655,
139,163,1,647,345.9819,0.0451,345.18301,344.9751,344.97514,0.0171,100,647,0,0,0,26.111,1
149,150,1,1555,445.7211,0.0701,444.98744,444.7144,444.71441,0.0365,100,1555,0,0,0,24.059,
150,145,1,1770,418.72,0.0646,417.97273,417.7132,417.71323,0.0322,100,1770,0,0,0,23.257,1
150,150,2,2088,446.2234,0.0783,890.98078,890.4333,890.43335,0.0389,100,2088,0,0,0,24.059,1
151,136,2,1743,324.1756,0.1055,646.73549,646.3377,646.33773,0.0288,60.1,1743,0,0,0,21.818,1
151,144,2,3839,417.7173,0.1344,833.92842,833.421,833.42105,0.0808,191.95,3839,0,0,0,23.102,1
153,134,1,2040,315.1686,0.0263,314.3537,314.1618,314.16184,0.0358,127.5,2040,0,0,0,21.498,
153,143,2,1837,408.1991,0.0913,814.88001,814.3848,814.3848,0.03,100,1837,765,0,0,22.941,
153,143,1,769,374.7098,0.0299,373.93532,373.7031,373.70309,0.0242,100,769,0,0,0,22.941,1
153,152,2,1484,413.2306,0.0183,824.95366,824.4476,824.44765,0.0332,100,1484,0,0,0,24.385,
153,178,1,3522,403.2354,0.1396,402.47461,402.2287,402.22871,0.038,251.57,3522,0,0,0,28.557,
154,123,2,2057,258.6653,0.0668,515.63207,515.317,515.31702,0.0321,100,2057,0,0,0,19.782,
154,129,3,2040,275.8242,0.0339,824.95831,823.4523,824.45231,0.0348,60,2040,0,0,0,20.747,
154,141,2,1373,337.6721,0.1255,673.74172,673.3307,673.33074,0.0364,100,1373,0,0,0,22.677,1
154,155,1,1259,446.731,0.105,445.99746,445.7243,445.72428,0.0379,100,1259,0,0,0,24.928,
154,210,1,1397,517.3213,0.0597,516.62978,516.3146,516.31457,0.039,100,1397,0,0,0,33.774,1
155,132,3,1530,267.1492,0.0211,798.92045,798.4275,798.42751,0.0293,100,1530,0,0,0,21.229,
155,139,1,1020,361.2105,0.0311,360.42318,359.2037,360.20375,0.0403,3.37,1020,0,0,0,22.355,1
155,141,1,1709,356.6847,0.027,355.89667,355.678,355.678,0.0298,100,1709,0,0,0,22.677,
155,147,1,903,408.2077,0.052,407.44761,407.201,407.20095,0.0556,13.32,903,0,0,0,23.642,
156,159,1,632,488.7447,0.0837,488.03748,487.738,487.73798,0.0332,100,632,0,0,0,25.571,
157,155,2,3570,489.7356,0.0659,978.04981,977.4578,977.45777,0.051,47.6,3570,0,0,0,24.959,
157,211,1,1020,525.2693,0.1078,524.57902,524.2626,524.2626,0.0337,100,1020,0,0,0,33.976,
158,139,1,2114,344.6999,0.044,343.9009,343.6932,343.69317,0.0371,33.03,2114,0,0,0,22.383,
158,215,1,1881,592.299,0.0332,591.65024,591.2922,591.29224,0.0391,100,1881,0,0,0,34.621,
159,134,3,3241,315.1711,0.0919,943.07053,942.493,942.49307,0.0352,270.08,3241,1785,0,0,21.577,
159,163,2,1275,472.7527,0.0453,944.06966,943.4921,943.49205,0.0368,100,1275,0,0,0,26.247,1
160,139,2,935,342.1932,0.1358,682.78537,682.373,682.37302,0.0287,100,935,0,0,0,22.212,1
160,147,1,1869,372.201,0.0269,371.42621,371.1943,371.19428,0.0363,100,1869,0,0,0,23.49,
160,147,1,857,420.2164,0.0622,419.46944,419.2096,419.20964,0.0314,100,857,0,0,0,23.49,1
160,152,2,1443,428.7289,0.0503,855.96439,854.4444,855.44441,0.0281,100,1443,0,0,0,24.289,
160,163,1,1785,472.2471,0.0431,471.52815,471.2404,471.24036,0.0378,100,1785,0,0,0,26.047,
