Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	SO_0770		
2	2	0	SO_0930		
3	2	0	SO_0162		
4	2	0	SO_3800		
5	2	0	SO_2489		
6	2	0	SO_0987		
7	2	0	SO_0933		
8	2	0	SO_0343		
9	2	0	SO_0929		
10	2	0	SO_3415		
11	2	0	SO_2477		
12	2	0	SO_0405		
13	2	0	SO_3072		
14	2	0	SO_2907		
15	2	0	SO_3748		
16	2	0	SO_2907		
17	2	0	SO_0217		
17	2	0	SO_0229		
18	2	0	SO_0405		
19	2	0	SO_3101		
20	2	0	SO_1126		
21	2	0	SO_1794		
22	2	0	SO_2427		
23	2	0	SO_1825		
24	2	0	SO_2074		
25	2	0	SO_3191		
26	2	0	SO_0223		
27	2	0	SO_3765		
28	2	0	SO_3440		
29	2	0	SO_0762		
30	2	0	SO_2279		
31	2	0	SO_1377		
32	2	0	SO_0247		
33	2	0	SO_3772		
34	2	0	SO_0227		
35	2	0	SO_0932		
36	2	0	SO_2743		
37	2	0	SO_3564		
38	2	0	SO_3545		
39	2	0	SO_1629		
40	2	0	SO_2427		
41	2	0	SO_2593		
42	2	0	SO_2916		
43	2	0	SO_0432		
44	2	0	SO_2427		
45	2	0	SO_2427		
46	2	0	SO_0294		
47	1	0	SO_2756		
48	2	0	SO_A0106		
49	2	0	SO_1932		
50	2	0	SO_1484		
51	2	0	SO_2427		
52	2	0	SO_0432		
53	2	0	SO_4652		
54	2	0	SO_A0161		
55	2	0	SO_4056		
56	2	0	SO_1630		
57	2	0	SO_3577		
58	2	0	SO_0932		
59	2	0	SO_0770		
60	2	0	SO_0704		
61	2	0	SO_2926		
62	2	0	SO_0704		
63	2	1	SO_2402		
64	2	0	SO_1175		
65	2	0	SO_4321		
66	2	0	SO_0818		
67	2	0	SO_0870		
68	2	0	SO_0933		
69	2	0	SO_0223		
70	2	0	SO_0224		
71	2	0	SO_4403		
72	2	0	SO_4747		
73	2	0	SO_2791		
74	2	0	SO_0246		
75	2	0	SO_1264		
76	2	0	SO_2593		
77	2	0	SO_1367		
78	2	0	SO_2427		
79	2	0	SO_2402		
80	2	0	SO_0224		
81	2	0	SO_0222		
82	2	0	SO_3546		
83	2	0	SO_0842		
84	2	0	SO_2907		
85	2	0	SO_0425		
86	2	0	SO_2427		
87	2	0	SO_0929		
88	2	0	SO_3237		
88	2	0	SO_3238		
89	2	1	SO_2402		
90	2	0	SO_3367		
91	2	0	SO_0248		
92	2	0	SO_0052		
93	2	0	SO_2218		
94	1	0	SO_2402		
95	2	0	SO_1929		
96	2	0	SO_2477		
97	2	0	SO_0704		
98	1	0	SO_0526		
99	2	0	SO_0423		
100	2	0	SO_2222		
101	2	0	SO_3985		
102	2	0	SO_3323		
103	2	0	SO_1829		
104	2	0	SO_0795		
105	2	0	SO_0246		
106	2	0	SO_2402		
107	2	0	SO_0021		
108	2	0	SO_3765		
109	2	0	SO_3238		
110	2	0	SO_1150		
111	2	1	SO_3855		
112	2	0	SO_3664		
113	2	0	SO_2427		
114	2	0	SO_1221		
115	2	0	SO_2016		
116	2	0	SO_4349		
117	2	0	SO_2644		
118	2	0	SO_3637		
119	2	0	SO_1824		
120	2	0	SO_2487		
121	2	0	SO_3193		
122	2	0	SO_3350		
123	2	0	SO_3942		
124	2	0	SO_3740		
125	2	0	SO_3906		
126	2	0	SO_0224		
127	2	0	SO_0818		
128	2	0	SO_2912		
129	2	0	SO_3440		
130	2	0	SO_A0164		
131	2	0	SO_0818		
132	2	0	SO_0225		
133	2	0	SO_0228		
134	2	0	SO_2406		
135	2	0	SO_2191		
136	2	0	SO_4747		
137	2	0	SO_1324		
138	2	0	SO_3904		
139	2	0	SO_2222		
140	2	0	SO_1630		
141	2	0	SO_0426		
142	2	0	SO_0704		
143	2	0	SO_0704		
144	2	0	SO_1931		
145	2	0	SO_3942		
146	2	2	SO_3466		
147	2	0	SO_4034		
148	2	0	SO_0429		
149	2	0	SO_3559		
150	2	0	SO_4349		
151	2	0	SO_3070		
152	2	0	SO_2768		
153	2	0	SO_4211		
154	2	0	SO_3064		
155	2	0	SO_1933		
156	2	0	SO_1377		
157	2	0	SO_2629		
158	2	0	SO_1221		
159	2	0	SO_4123		
160	2	0	SO_3915		
161	2	0	SO_2536		
162	2	0	SO_1825		
163	2	0	SO_1170		
164	2	0	SO_3237		
164	2	0	SO_3238		
165	2	0	SO_2404		
166	2	0	SO_0217		
166	2	0	SO_0229		
167	2	0	SO_0217		
167	2	0	SO_0229		
168	2	0	SO_1490		
169	2	0	SO_2912		
170	2	0	SO_1217		
171	2	0	SO_0344		
172	2	0	SO_0691		
173	2	0	SO_2491		
174	2	0	SO_0217		
174	2	0	SO_0229		
175	2	0	SO_2629		
176	2	0	SO_4321		
177	1	0	SO_0406		
178	2	0	SO_3560		
179	2	0	SO_0611		
180	2	0	SO_1325		
181	2	0	SO_2487		
182	2	0	SO_1356		
183	2	0	SO_1203		
184	2	0	SO_0232		
185	2	0	SO_4055		
186	2	0	SO_3154		
187	2	0	SO_4811		
188	2	0	SO_0432		
189	2	0	SO_2907		
190	2	0	SO_3973		
191	2	0	SO_0840		
192	2	0	SO_3175		
193	2	0	SO_2916		
194	2	0	SO_1065		
195	2	0	SO_3110		
196	2	0	SO_4454		
197	2	0	SO_4480		
198	2	0	SO_3094		
199	2	0	SO_2907		
200	2	0	SO_1060		
201	2	0	SO_2016		
202	2	0	SO_2767		
203	2	0	SO_0242		
204	2	0	SO_0840		
205	2	0	SO_3765		
206	2	0	SO_0224		
207	2	0	SO_4538		
208	2	0	SO_0862		
209	2	0	SO_0021		
210	2	0	SO_3772		
211	2	0	SO_1197		
212	2	0	SO_2402		
213	2	0	SO_0432		
214	2	0	SO_2016		
215	2	0	SO_3471		
216	2	0	SO_1327		
217	1	0	SO_1479		
218	2	0	SO_1204		
219	2	0	SO_0426		
220	2	0	SO_4056		
221	2	0	SO_0929		
222	2	0	SO_3956		
223	2	0	SO_0429		
224	2	0	SO_0842		
225	2	0	SO_1795		
226	2	0	SO_0228		
227	1	0	SO_2427		
228	2	0	SO_0162		
