RankXc	ScanNum	ChargeState	MultiProteinID	Reference	
1	46	1	1	SO_0600
1	46	1	2	SO_0658
1	46	1	3	SO_3215
1	46	1	4	SO_3351
1	46	1	5	SO_4080
1	46	1	6	SO_4093
1	46	1	7	SO_4516
1	53	1	1	SO_0680
1	53	1	2	SO_1075
1	53	1	3	SO_3204
1	53	1	4	SO_3288
1	53	1	5	SO_4149
1	67	1	1	SO_0815
1	67	1	2	SO_2415
1	67	1	3	SO_2900
1	71	1	1	SO_0054
1	71	1	10	SO_3540
1	71	1	11	SO_3614
1	71	1	12	SO_3698
1	71	1	13	SO_4019
1	71	1	14	SO_4779
1	71	1	2	SO_0769
1	71	1	3	SO_0874
1	71	1	4	SO_0882
1	71	1	5	SO_0890
1	71	1	6	SO_1122
1	71	1	7	SO_1851
1	71	1	8	SO_2250
1	71	1	9	SO_2373
1	75	1	1	SO_0450
1	75	1	2	SO_4355
1	90	1	1	SO_0253
1	90	1	10	SO_0923
1	90	1	11	SO_1016
1	90	1	12	SO_1181
1	90	1	13	SO_1205
1	90	1	14	SO_1364
1	90	1	15	SO_1518
1	90	1	16	SO_1796
1	90	1	17	SO_2404
1	90	1	18	SO_2424
1	90	1	19	SO_2450
1	90	1	2	SO_0359
1	90	1	20	SO_2614
1	90	1	21	SO_2644
1	90	1	22	SO_2697
1	90	1	23	SO_2768
1	90	1	24	SO_3090
1	90	1	25	SO_3113
1	90	1	26	SO_3124
1	90	1	27	SO_3320
1	90	1	28	SO_3407
1	90	1	29	SO_3527
1	90	1	3	SO_0455
1	90	1	30	SO_3549
1	90	1	31	SO_3613
1	90	1	32	SO_3690
1	90	1	33	SO_3844
1	90	1	34	SO_3899
1	90	1	35	SO_4130
1	90	1	36	SO_4163
1	90	1	37	SO_4289
1	90	1	38	SO_4396
1	90	1	39	SO_4723
1	90	1	4	SO_0578
1	90	1	40	SO_4741
1	90	1	5	SO_0646
1	90	1	6	SO_0756
1	90	1	7	SO_0757
1	90	1	8	SO_0830
1	90	1	9	SO_0859
1	93	1	1	SO_2113
1	93	1	2	SO_2162
1	93	1	3	SO_2698
1	195	1	1	SO_1127
1	195	1	2	SO_3678
1	195	1	3	SO_3918
1	195	1	4	SO_A0110
1	207	1	1	SO_1602
1	207	1	10	SO_4089
1	207	1	11	SO_4371
1	207	1	2	SO_1602
1	207	1	3	SO_1771
1	207	1	4	SO_1803
1	207	1	5	SO_1810
1	207	1	6	SO_1985
1	207	1	7	SO_2848
1	207	1	8	SO_2931
1	207	1	9	SO_3331
1	222	1	1	SO_0821
1	222	1	2	SO_1140
1	222	1	3	SO_1324
1	222	1	4	SO_1635
1	222	1	5	SO_2688
1	222	1	6	SO_4222
1	222	1	7	SO_4236
1	222	1	8	SO_4296
1	222	1	9	SO_A0049
1	232	1	1	SO_0588
1	232	1	2	SO_2930
1	232	1	3	SO_4601
1	243	1	1	SO_1350
1	243	1	2	SO_1460
1	243	1	3	SO_1931
1	327	1	1	SO_0388
1	327	1	2	SO_1915
1	327	1	3	SO_3302
1	338	1	1	SO_2047
1	338	1	2	SO_2358
1	339	1	1	SO_0704
1	339	1	2	SO_2183
1	339	1	3	SO_3198
1	367	1	1	SO_1926
1	367	1	2	SO_2567
1	367	1	3	SO_3467
1	367	1	4	SO_3496
1	367	1	5	SO_4565
1	375	1	1	SO_3603
1	375	1	2	SO_4440
1	399	1	1	SO_1193
1	399	1	2	SO_2304
1	399	1	3	SO_4526
1	405	1	1	SO_1505
1	405	1	2	SO_4598
1	405	1	3	SO_A0153
1	409	1	1	SO_0904
1	409	1	2	SO_3157
1	409	1	3	SO_3243
1	411	1	1	SO_0425
1	411	1	2	SO_0928
1	411	1	3	SO_3821
1	421	1	1	SO_0756
1	421	1	2	SO_1361
1	423	1	1	SO_0192
