RankXc	ScanNum	ChargeState	MultiProteinID	Reference	
1	6	2	1	SO_0217
1	6	2	2	SO_0229
1	8	2	1	SO_0217
1	8	2	2	SO_0229
1	29	2	1	SO_0217
1	29	2	2	SO_0229
1	43	2	1	SO_0217
1	43	2	2	SO_0229
1	43	3	1	SO_0217
1	43	3	2	SO_0229
1	47	2	1	SO_0217
1	47	2	2	SO_0229
1	52	2	1	SO_0217
1	52	2	2	SO_0229
1	92	2	1	SO_0217
1	92	2	2	SO_0229
1	93	2	1	SO_0217
1	93	2	2	SO_0229
1	94	2	1	SO_0819
1	94	2	2	SO_3753
1	102	2	1	SO_0217
1	102	2	2	SO_0229
1	123	2	1	SO_0217
1	123	2	2	SO_0229
1	130	3	1	SO_0217
1	130	3	2	SO_0229
1	150	2	1	SO_0217
1	150	2	2	SO_0229
1	162	2	1	SO_0217
1	162	2	2	SO_0229
1	190	2	1	SO_0217
1	190	2	2	SO_0229
1	220	1	1	SO_0474
1	220	1	2	SO_1219
1	220	1	3	SO_2495
1	220	1	4	SO_2778
1	220	1	5	SO_3148
1	220	1	6	SO_4734
1	240	1	1	SO_0040
1	240	1	2	SO_3170
1	240	1	3	SO_3554
1	266	2	1	SO_0217
1	266	2	2	SO_0229
1	273	1	1	SO_1828
1	273	1	2	SO_2606
1	273	1	3	SO_4056
1	273	1	4	SO_4343
1	319	2	1	SO_0217
1	319	2	2	SO_0229
1	345	2	1	SO_0217
1	345	2	2	SO_0229
1	347	1	1	SO_0542
1	347	1	10	SO_2407
1	347	1	11	SO_2677
1	347	1	12	SO_2940
1	347	1	13	SO_2983
1	347	1	14	SO_3282
1	347	1	15	SO_3608
1	347	1	16	SO_3766
1	347	1	17	SO_3775
1	347	1	18	SO_3778
1	347	1	19	SO_3924
1	347	1	2	SO_0671
1	347	1	20	SO_4196
1	347	1	21	SO_4267
1	347	1	22	SO_4391
1	347	1	3	SO_0781
1	347	1	4	SO_0922
1	347	1	5	SO_1332
1	347	1	6	SO_1942
1	347	1	7	SO_2117
1	347	1	8	SO_2178
1	347	1	9	SO_2351
1	355	2	1	SO_0217
1	355	2	2	SO_0229
1	356	2	1	SO_0217
1	356	2	2	SO_0229
1	357	1	1	SO_3501
1	357	1	2	SO_3871
1	368	1	1	SO_A0110
1	368	1	2	SO_A0112
1	369	1	1	SO_0170
1	369	1	10	SO_3924
1	369	1	11	SO_4704
1	369	1	2	SO_0501
1	369	1	3	SO_1325
1	369	1	4	SO_1798
1	369	1	5	SO_2898
1	369	1	6	SO_3048
1	369	1	7	SO_3505
1	369	1	8	SO_3558
1	369	1	9	SO_3577
1	373	1	1	SO_0680
1	373	1	2	SO_0931
1	373	1	3	SO_1048
1	373	1	4	SO_4669
1	374	1	1	SO_1035
1	374	1	2	SO_1410
1	374	1	3	SO_3135
